h,mixture_upper,finite_exchangeable
0.5,0.04435000000100002,0.04435
0.2,0.01436105476239995,0.014500000000000004
0.1,0.006704054647274301,0.013050000000000003
0.05,0.005750944633968736,0.009750000000000003
0.02,0.005672113223837247,0.007392857142856937
