h,law,N,exact,mc,se,z
0.2,worst-grid,1000000,0.014356409762500005,0.014423700000000006,4.944885563387009e-05,1.3608047473986655
0.2,independent,1000000,0.009951999999999999,0.009914100000000004,3.847287487766026e-05,-0.9851096420663464
0.05,worst-grid,1000000,0.005577437345764105,0.005645850000000003,3.751977192775546e-05,1.8233760686932354
0.05,independent,1000000,0.00014347525109477865,0.0001474000000000006,3.16990272536608e-06,1.2381291305299258
0.02,worst-grid,1000000,0.005475789295951133,0.00547366,3.533263497956945e-05,-0.060264284063858926
0.02,independent,1000000,4.4453917213103403e-07,3.600000000000003e-07,8.944203933206361e-08,-0.9451838616645643
