mu,rho,h,cash,lower,upper,gap,beta,floor,moment_residual
0.1,0.01,0.5,0.2,0.06218000000000003,0.06218000000100001,9.999848171737824e-13,0.0621800000000002,0.0022015325445527423,1.1102230246251565e-16
0.1,0.01,0.5,0.3,0.04327000000000001,0.043270000001000015,1.0000056338554941e-12,0.04327000000000013,0.0011187420807834136,0.0
0.1,0.01,0.2,0.1,0.059775239868390034,0.05979126238085476,1.6022512464727856e-05,0.05969476107805444,0.015,1.734723475976807e-18
0.1,0.01,0.2,0.2,0.019550479736780015,0.01958252476070951,3.204502392949518e-05,0.019389522156108778,0.0022015325445527423,1.734723475976807e-18
0.1,0.01,0.2,0.3,0.010838071713220009,0.010840924192184406,2.852478964397026e-06,0.010823173388445625,0.0011187420807834136,1.734723475976807e-18
0.1,0.01,0.1,0.1,0.03718702120811666,0.037314258626398825,0.00012723741828216117,0.03655795945381933,0.015,1.734723475976807e-18
0.1,0.01,0.1,0.2,0.010045911146019403,0.010059979803230541,1.4068657211138702e-05,0.010009272484887838,0.0022015325445527423,0.0
0.1,0.01,0.1,0.3,0.002503441510907714,0.0025935782395831216,9.013672867540755e-05,0.0020972383786139327,0.0011187420807834136,0.0
0.1,0.01,0.05,0.1,0.028575569053566674,0.02868331103566936,0.00010774198210268537,0.0280993622341673,0.015,1.3877787807814457e-17
0.1,0.01,0.05,0.2,0.00472939895696612,0.004834496418100964,0.00010509746113484403,0.004344930904219974,0.0022015325445527423,3.419486915845482e-14
0.1,0.01,0.05,0.3,0.0012518379366907545,0.0014335929608261574,0.0001817550241354029,0.0003961798618040064,0.0011187420807834136,1.734723475976807e-18
0.1,0.01,0.02,0.1,0.020841201559736462,0.02101145152171592,0.00017024996197945869,0.0203597876671395,0.015,0.0
0.1,0.01,0.02,0.2,0.0024231379374141265,0.0027454466665412895,0.00032230872912716304,0.0011569203097244764,0.0022015325445527423,0.0
0.1,0.01,0.02,0.3,0.0011190489319441237,0.0013331770642602027,0.00021412813231607894,2.2075592157821287e-05,0.0011187420807834136,2.220446049250313e-16
