DEPINS,BKCLASS,SCMTGBK,REPDTE,DEPDOM,ASSET,DEP,NAME,SC,DEPUNINS,SCUST,CHBAL,CERT,LNLSNET,BRO,ID,INSFDIC,INSDIF,cash_ratio,treasury_ratio,size_bin
35138,NM,0.0,20241231,44095,50785,44095,TALBOT STATE BANK,13028,9013,4092,4859,178,31472,8658.0,178_20241231,1,1,0.11019389953509469,0.20299353668216352,<1bn
89319,NM,26393.0,20241231,121391,134754,121391,MERCHANTS&CITIZENS BANK,70420,32284,1987,9048,183,43204,0.0,183_20241231,1,1,0.07453600349284543,0.09090459754018008,<1bn
319462,NM,41536.0,20241231,382673,427779,382673,ALLIANCE BANK,110292,63817,0,7936,197,282975,32616.0,197_20241231,1,1,0.020738332727942656,0.020738332727942656,<1bn
160230,NM,24713.0,20241231,234114,291855,234114,TRI-COUNTY BANK&TRUST CO,56033,74189,0,7435,210,214622,0.0,210_20241231,1,1,0.03175803241156018,0.03175803241156018,<1bn
390708,SM,46986.0,20241231,511618,576639,511618,WASHINGTON STATE BANK,190962,121835,0,27796,214,318035,102635.0,214_20241231,1,1,0.05432959747311471,0.05432959747311471,<1bn
120736,NM,36857.0,20241231,198473,272239,198473,GUTHRIE COUNTY STATE BANK,106666,78109,4746,6225,226,144500,22828.0,226_20241231,1,1,0.03136446771097328,0.055277040201941824,<1bn
725577,NM,17.0,20241231,1245966,1484768,1245966,AMERICAN STATE BANK,40463,524500,14078,90739,228,1306739,151937.0,228_20241231,1,1,0.07282622479265084,0.0841250884855606,1-10bn
205006,NM,19313.0,20241231,278840,328394,278840,COMMUNITY STATE BANK,142926,74621,467,8522,230,163783,12903.0,230_20241231,1,1,0.030562329651412996,0.03223712523310859,<1bn
201835,SM,4550.0,20241231,269063,318777,269063,COMMERCIAL SAVINGS BANK,47886,69505,32332,26800,231,235948,12313.0,231_20241231,1,1,0.09960492524055704,0.21977009101957534,<1bn
64582,NM,0.0,20241231,92621,128272,92621,SOLON STATE BANK,42016,28183,0,1515,232,79405,0.0,232_20241231,1,1,0.016356981678021184,0.016356981678021184,<1bn
66850,NM,0.0,20241231,87438,119491,87438,POCAHONTAS STATE BANK,72554,21136,500,1739,234,37177,0.0,234_20241231,1,1,0.01988837805073309,0.02560671561563622,<1bn
223500,NM,0.0,20241231,302494,433512,302494,SECURITY STATE BANK,5127,79531,4023,7658,235,391090,10429.0,235_20241231,1,1,0.02531620461893459,0.038615641963146374,<1bn
279113,NM,28015.0,20241231,404589,448959,404589,RACCOON VALLEY BANK,61281,128727,5300,36381,245,334263,18251.0,245_20241231,1,1,0.08992088267352795,0.103020596209981,<1bn
156065,NM,0.0,20241231,189305,252663,189305,STATE SAVINGS BANK,315,33550,0,18068,248,223953,1039.0,248_20241231,1,1,0.09544386043686115,0.09544386043686115,<1bn
